A1CF,Q9NQ94,EP300,Q09472
A2M,P01023,AMBP,P02760
A2M,P01023,APOA1,P02647
A2M,P01023,APP,P05067
A2M,P01023,BMP1,P13497
A2M,P01023,CDC42,P60953
A2M,P01023,CTSB,P07858
A2M,P01023,ELANE,P08246
A2M,P01023,F2,P00734
A2M,P01023,FGF2,P09038
A2M,P01023,GEM,P55040
A2M,P01023,HSPA5,P11021
A2M,P01023,IL6,P05231
A2M,P01023,KLKB1,P03952
A2M,P01023,LGALS3,P17931
A2M,P01023,MMP1,P03956
A2M,P01023,MMP13,P45452
A2M,P01023,MMP3,P08254
A2M,P01023,NFKB1,P19838
A2M,P01023,NGF,P01138
A2M,P01023,NOS3,P29474
A2M,P01023,PLG,P00747
A2M,P01023,PROC,P04070
A2M,P01023,PROS1,P07225
A2M,P01023,RAC2,P15153
A2M,P01023,RAC3,P60763
A2M,P01023,RAP1B,P61224
A2M,P01023,RELA,Q04206
A2M,P01023,RHEB,Q15382
A2M,P01023,RHOA,P61586
A2M,P01023,RHOB,P62745
A2M,P01023,RHOC,P08134
A2M,P01023,RHOD,O00212
A2M,P01023,RHOQ,P17081
A2M,P01023,RHOU,Q7L0Q8
A2M,P01023,SERPING1,P05155
A2M,P01023,STAT1,P42224
A2M,P01023,TGFBI,Q15582
AADAT,Q8N5Z0,ALDH18A1,P54886
AADAT,Q8N5Z0,ASL,P04424
AADAT,Q8N5Z0,ASS1,P00966
AADAT,Q8N5Z0,BCAT1,P54687
AADAT,Q8N5Z0,GOT1,P17174
AADAT,Q8N5Z0,HAAO,P46952
AADAT,Q8N5Z0,IDH1,O75874
AADAT,Q8N5Z0,MTHFD1,P11586
AADAT,Q8N5Z0,NAGS,Q8N159
AADAT,Q8N5Z0,PSAT1,Q9Y617
AAK1,Q2M2I8,PLK1,P53350
AAK1,Q2M2I8,PLK2,Q9NYY3
AAK1,Q2M2I8,PLK3,Q9H4B4
AASDHPPT,Q9NRN7,FASN,P49327
AASDHPPT,Q9NRN7,PLCG1,P19174
ABCC1,P33527,ACADM,P11310
ABCC1,P33527,ATP2B4,P23634
ABCC1,P33527,ETFA,P13804
ABCC1,P33527,PIK3C2A,O00443
ABCC1,P33527,PIK3C2G,O75747
ABCC1,P33527,XPO1,O14980
ABI2,Q9NYB9,ABL1,P00519
ABI2,Q9NYB9,ABL2,P42684
ABI2,Q9NYB9,BCR,P11274
ABI2,Q9NYB9,BRK1,Q8WUW1
ABI2,Q9NYB9,CYFIP1,Q7L576
ABI2,Q9NYB9,ENAH,Q8N8S7
ABI2,Q9NYB9,EPS8,Q12929
ABI2,Q9NYB9,NCK2,O43639
ABI2,Q9NYB9,NCKAP1,Q9Y2A7
ABI2,Q9NYB9,PACSIN1,Q9BY11
ABI2,Q9NYB9,PRPF40A,O75400
ABI2,Q9NYB9,RAC1,P63000
ABI2,Q9NYB9,RAC2,P15153
ABI2,Q9NYB9,RAC3,P60763
ABI2,Q9NYB9,VASP,P50552
ABI2,Q9NYB9,VCL,P18206
ABI2,Q9NYB9,WAS,P42768
ABI2,Q9NYB9,WASF1,Q92558
ABI2,Q9NYB9,WASL,O00401
ABL1,P00519,ABL2,P42684
ABL1,P00519,ADRBK1,P25098
ABL1,P00519,AIRE,O43918
ABL1,P00519,APP,P05067
ABL1,P00519,ARHGEF11,O15085
ABL1,P00519,BAIAP2,Q9UQB8
ABL1,P00519,BAZ2A,Q9UIF9
ABL1,P00519,BCAR1,P56945
ABL1,P00519,BCL2L1,Q07817
ABL1,P00519,BCL3,P20749
ABL1,P00519,BCR,P11274
ABL1,P00519,BOC,Q9BWV1
ABL1,P00519,BRCA1,P38398
ABL1,P00519,BRK1,Q8WUW1
ABL1,P00519,BRPF3,Q9ULD4
ABL1,P00519,BTK,Q06187
ABL1,P00519,C3,P01024
ABL1,P00519,C6,P13671
ABL1,P00519,CAP1,Q01518
ABL1,P00519,CBL,P22681
ABL1,P00519,CBLB,Q13191
ABL1,P00519,CBLC,Q9ULV8
ABL1,P00519,CCKBR,P32239
ABL1,P00519,CCNA2,P20248
ABL1,P00519,CD2AP,Q9Y5K6
ABL1,P00519,CD55,P08174
ABL1,P00519,CDC42,P60953
ABL1,P00519,CDK2,P24941
ABL1,P00519,CDK5,Q00535
ABL1,P00519,CDKN1B,P46527
ABL1,P00519,CDON,Q4KMG0
ABL1,P00519,CKAP5,Q14008
ABL1,P00519,CLASP1,Q7Z460
ABL1,P00519,CLASP2,O75122
ABL1,P00519,CRK,P46108
ABL1,P00519,CRKL,P46109
ABL1,P00519,CSF1,P09603
ABL1,P00519,CSF1R,P07333
ABL1,P00519,CTNNA1,P35221
ABL1,P00519,CTNNB1,P35222
ABL1,P00519,CTNND1,O60716
ABL1,P00519,DDX41,Q9UJV9
ABL1,P00519,DNM2,P50570
ABL1,P00519,DOK2,O60496
ABL1,P00519,DUSP15,Q9H1R2
ABL1,P00519,EFNA5,P52803
ABL1,P00519,EGFR,P00533
ABL1,P00519,ENAH,Q8N8S7
ABL1,P00519,EP300,Q09472
ABL1,P00519,EPHA1,P21709
ABL1,P00519,EPHA2,P29317
ABL1,P00519,EPHA3,P29320
ABL1,P00519,EPHA4,P54764
ABL1,P00519,EPHA5,P54756
ABL1,P00519,EPHA7,Q15375
ABL1,P00519,EPHA8,P29322
ABL1,P00519,EPHB1,P54762
ABL1,P00519,EPHB2,P29323
ABL1,P00519,EPHB3,P54753
ABL1,P00519,EPHB4,P54760
ABL1,P00519,EPS15,P42566
ABL1,P00519,EPS8,Q12929
ABL1,P00519,ERBB2,P04626
ABL1,P00519,ERBB3,P21860
ABL1,P00519,ERBB4,Q15303
ABL1,P00519,FLNA,P21333
ABL1,P00519,FYN,P06241
ABL1,P00519,GPC1,P35052
ABL1,P00519,GRB2,P62993
ABL1,P00519,GTF2IRD1,Q9UHL9
ABL1,P00519,HCK,P08631
ABL1,P00519,HDAC2,Q92769
ABL1,P00519,HSP90AB1,P08238
ABL1,P00519,INPPL1,O15357
ABL1,P00519,ITGB2,P05107
ABL1,P00519,JAK1,P23458
ABL1,P00519,JAK2,O60674
ABL1,P00519,JUN,P05412
ABL1,P00519,JUND,P17535
ABL1,P00519,LCK,P06239
ABL1,P00519,LRP8,Q14114
ABL1,P00519,LYN,P07948
ABL1,P00519,MAP2K6,P52564
ABL1,P00519,MAPK11,Q15759
ABL1,P00519,MAPK12,P53778
ABL1,P00519,MAPK14,Q16539
ABL1,P00519,MDM2,Q00987
ABL1,P00519,MTOR,P42345
ABL1,P00519,MYC,P01106
ABL1,P00519,NCK1,P16333
ABL1,P00519,NCK2,O43639
ABL1,P00519,NCKAP1,Q9Y2A7
ABL1,P00519,NCSTN,Q92542
ABL1,P00519,NFASC,O94856
ABL1,P00519,NOTCH3,Q9UM47
ABL1,P00519,NR2C2,P49116
ABL1,P00519,NTRK1,P04629
ABL1,P00519,NTRK2,Q16620
ABL1,P00519,NTRK3,Q16288
ABL1,P00519,PAK2,Q13177
ABL1,P00519,PARK7,Q99497
ABL1,P00519,PDGFB,P01127
ABL1,P00519,PDGFRB,P09619
ABL1,P00519,PIK3R1,P27986
ABL1,P00519,PKD1,P98161
ABL1,P00519,PLCG1,P19174
ABL1,P00519,PPP3CA,Q08209
ABL1,P00519,PRKCD,Q05655
ABL1,P00519,PSTPIP1,O43586
ABL1,P00519,PTPRC,P08575
ABL1,P00519,PTPRF,P10586
ABL1,P00519,PTPRS,Q13332
ABL1,P00519,PXN,P49023
ABL1,P00519,RAC1,P63000
ABL1,P00519,RAC2,P15153
ABL1,P00519,RAC3,P60763
ABL1,P00519,RAD21,O60216
ABL1,P00519,RAD51,Q06609
ABL1,P00519,RAD9A,Q99638
ABL1,P00519,RAN,P62826
ABL1,P00519,RB1,P06400
ABL1,P00519,RET,P07949
ABL1,P00519,ROBO1,Q9Y6N7
ABL1,P00519,ROBO2,Q9HCK4
ABL1,P00519,ROS1,P08922
ABL1,P00519,SEMA7A,O75326
ABL1,P00519,SFN,P31947
ABL1,P00519,SHC1,P29353
ABL1,P00519,SLIT2,O94813
ABL1,P00519,SMARCB1,Q12824
ABL1,P00519,SNX12,Q9UMY4
ABL1,P00519,SNX17,Q15036
ABL1,P00519,SNX9,Q9Y5X1
ABL1,P00519,SORBS3,O60504
ABL1,P00519,SOS1,Q07889
ABL1,P00519,SP1,P08047
ABL1,P00519,SPAG9,O60271
ABL1,P00519,SRC,P12931
ABL1,P00519,SRPK2,P78362
ABL1,P00519,SUV39H2,Q9H5I1
ABL1,P00519,SYK,P43405
ABL1,P00519,TERT,O14746
ABL1,P00519,TP63,Q9H3D4
ABL1,P00519,TP73,O15350
ABL1,P00519,TRAF6,Q9Y4K3
ABL1,P00519,TRIM28,Q13263
ABL1,P00519,VASP,P50552
ABL1,P00519,VAV1,P15498
ABL1,P00519,WASF2,Q9Y6W5
ABL1,P00519,XRCC6,P12956
ABL1,P00519,YES1,P07947
ABL1,P00519,YWHAB,P31946
ABL1,P00519,ZAP70,P43403
ABL1,P00519,ZFP36L2,P47974
ABL2,P42684,BCR,P11274
ABL2,P42684,BOC,Q9BWV1
ABL2,P42684,CAP1,Q01518
ABL2,P42684,CD55,P08174
ABL2,P42684,CDON,Q4KMG0
ABL2,P42684,CLASP1,Q7Z460
ABL2,P42684,CLASP2,O75122
ABL2,P42684,CRK,P46108
ABL2,P42684,CRKL,P46109
ABL2,P42684,DOK1,Q99704
ABL2,P42684,DOK2,O60496
ABL2,P42684,EGFR,P00533
ABL2,P42684,ENAH,Q8N8S7
ABL2,P42684,EPHA1,P21709
ABL2,P42684,EPHA2,P29317
ABL2,P42684,EPHA3,P29320
ABL2,P42684,EPHA4,P54764
ABL2,P42684,EPHA5,P54756
ABL2,P42684,EPHA7,Q15375
ABL2,P42684,EPHA8,P29322
ABL2,P42684,EPHB1,P54762
ABL2,P42684,EPHB2,P29323
ABL2,P42684,EPHB3,P54753
ABL2,P42684,EPHB4,P54760
