FUSION EVENT,INTERACTION AFFECTED,GENE 1 NAME, GENE 1 SWISSPROT, GENE 1 PDB SET,GENE 2 NAME, GENE 2 SWISSPROT, GENE 2 PDB SET,Interactome3D Result
F EWSR1-NFATC1,I EWSR1-ZNF292,EWSR1,Q01844,2CPE,ZNF292,O60281,1X3C,No Interaction Reported by Interactome3D~
F HMGA2-WIF1,I WIF1-WNT7A,WIF1,Q9Y5W5,2D3J~2YGN~2YGO~2YGP~2YGQ,WNT7A,O00755,4UZQ,No Interaction Reported by Interactome3D~
F INTS4-GAB2,I GAB2-ZAP70,GAB2,Q9UQC2,2VWF~2W0Z,ZAP70,P43403,1FBV~1M61~1U59~2CBL~2OQ1~2OZO~2Y1N~3ZNI~4A4B~4A4C~4K2R~4XZ0~4XZ1,No Interaction Reported by Interactome3D~
F VCL-ALK,I VCL-YES1,VCL,P18206,1RKC~1RKE~1SYQ~1TR2~1YDI~2GWW~2HSQ~2IBF~3H2U~3H2V~3JBK~3MYI~3RF3~3S90~3TJ5~3TJ6~3VF0~4DJ9~4EHP~4LN2~4LNP~4PR9,YES1,P07947,2HDA,No Interaction Reported by Interactome3D~
F PAX8-PPARG,I PAX8-TP53,PAX8,Q06710,2K27,TP53,P04637,1A1U~1AIE~1C26~1DT7~1GZH~1H26~1HS5~1JSP~1KZY~1MA3~1OLG~1OLH~1PES~1PET~1SAE~1SAF~1SAK~1SAL~1TSR~1TUP~1UOL~1XQH~1YC5~1YCQ~1YCR~1YCS~2AC0~2ADY~2AHI~2ATA~2B3G~2BIM~2BIN~2BIO~2BIP~2BIQ~2F1X~2FEJ~2FOJ~2FOO~2GS0~2H1L~2H2D~2H2F~2H4F~2H4H~2H4J~2H59~2J0Z~2J10~2J11~2J1W~2J1X~2J1Y~2J1Z~2J20~2J21~2K8F~2L14~2LY4~2MEJ~2MWO~2MWP~2MZD~2OCJ~2PCX~2RUK~2VUK~2WGX~2X0U~2X0V~2X0W~2XWR~2YBG~2YDR~2Z5S~2Z5T~3D05~3D06~3D07~3D08~3D09~3D0A~3DAB~3DAC~3IGK~3IGL~3KMD~3KZ8~3LW1~3OQ5~3PDH~3Q01~3Q05~3Q06~3SAK~3TG5~3TS8~3ZME~4AGL~4AGM~4AGN~4AGO~4AGP~4AGQ~4BUZ~4BV2~4HFZ~4HJE~4IBQ~4IBS~4IBT~4IBU~4IBV~4IBW~4IBY~4IBZ~4IJT~4KVP~4LO9~4LOE~4LOF~4MZI~4MZR~4QO1~4X34~4ZZJ~5A7B,No Interaction Reported by Interactome3D~
F MSN-ALK,I MSN-VCAM1,MSN,P26038,1E5W~1EF1~1SGH,VCAM1,P19320,1IJ9~1VCA~1VSC,No Interaction Reported by Interactome3D~
F SFPQ-TFE3,I SFPQ-YWHAQ,SFPQ,P23246,4WII~4WIJ~4WIK,YWHAQ,P27348,2BTP,No Interaction Reported by Interactome3D~
F HNRNPA2B1-ETV1,I HNRNPA2B1-YBX1,HNRNPA2B1,P22626,1X4B,YBX1,P67809,1H95,No Interaction Reported by Interactome3D~
F BBS9-PKD1L1,I BBS9-RAB3IP,BBS9,Q3SYG4,4YD8,RAB3IP,Q96QF0,4LHX~4LHY~4LHZ~4UJ3~4UJ4~4UJ5,No Interaction Reported by Interactome3D~
F SEC31A-JAK2,I SEC31A-SEH1L,SEC31A,O94979,3WXA,SEH1L,Q96EE3,5A9Q,No Interaction Reported by Interactome3D~
